id,name
e16eadd2-99ac-424b-98a4-71a8374ea7da,Entrepreneur First
00efe72c-bd8d-4e25-afa6-cbaac9d41c70,Entrepreneurs First
31596dd9-4032-4939-8f14-65215c4f25b1,Entrepreneurs from the Loire region
bd3e2c8e-a989-4272-949b-3fae4a9e9c41,Eurazeo
3e51b124-8850-4bfc-baa1-e52d7889d292,Eurazeo and the Ecotechnologies 2 fund
5bbde5ff-ea46-42b2-98f0-f03af2ed8614,European Innovation Council
57990daf-5635-4d4d-a8f7-7de0512f63a4,European Innovation Council (EIC)
1d418e7c-cabe-491f-b668-0eb240e60fb7,European Innovation Council (EIC) Fund
b529bee7-aab8-4cbe-9041-c3697b340484,European Innovation Council Fund
66ce3f5e-946f-4470-883f-9e38d9f33582,European Innovation Council Fund (EIC Fund)
2d4a083e-4a17-4c63-80a5-3e7f82cb4484,European Investment Bank
b36733f1-6dee-4cbc-8215-249dbb393ece,European Investment Bank (EIB)
18c36229-b91f-400c-9dd1-ae0e3beb192a,Expansion Venture Capital
dc523822-6e7a-4178-bf41-94eb2aa39f4a,Expansion Ventures
905e7122-7fd6-44ea-92c4-35bd3deb076c,Finovam
eb00dfa1-48ea-42fc-a127-e777291fa55f,Finovam Gestion
1aadebfc-0867-479e-830f-2d22760c9d93,Finovam Gestion et ILP
823a329f-e84c-401f-8746-f470d8672150,Fonds Régional Avenir Industrie Auvergne-Rhône-Alpes (via UI Investissement)
ee30ad6a-96eb-4799-b840-8d4dd044a447,Founders Future
7f6cf2b9-a7f4-4a5b-b3f7-08e2894faa80,Founders Futures
0d127f2e-7256-4052-a96c-47f3e4a89c0d,France Active Pays de la Loire
6f7fbaf8-7b42-49ab-900c-c96af2316993,France Active Pays de la Loire et du programme Vendée Croissance.
e916774b-5d16-46a3-a340-482bcbf2741c,Frenchfounders
12d1ea47-50f9-46b9-b44d-28413b0b3f8b,FrenchFounders
38af347f-e505-415c-b729-6472b5b67f1a,Frenchfounders Business Angels
0f881129-13c6-40ff-8628-d6154b503315,Galion
4abdd299-bc2c-4b46-a60e-547bfbf5d8c3,Galion.exe
456ff616-2b8b-446c-b0bf-1d46ea5062d1,Heartcore
c15bbb4b-54a9-458e-a6d5-b3d4970fad39,Heartcore Capital
64701a1c-7ada-4beb-9429-b527ff37b9d2,Hexa
14a24e7a-5d8b-4c51-9890-bd321f4420d2,Hexa Capital
7d2d9c1d-662e-4e36-a259-41a8aeb3bedd,Hexa Sprint
d84a241f-6755-4baa-b636-873e316a264e,INCO
712017d5-7655-4e90-9c3e-63e79711c5dc,INCO Investissement
3b989c7b-b4a0-4ab4-a538-6fb46996aa17,Inco Venture
100c674e-0807-49a1-a370-ebfd742cbbae,Inco Ventures
fd548330-7a94-48a8-88b4-ba98bd6901c6,INCO Ventures
f3397e62-ba5e-474d-9bf3-753ec3361bd9,Irdi
7a23b28b-fb29-4ee7-9f25-a051e05d658b,Irdi Capital
74513ddc-30b0-4bb9-abb4-289cbdcf7360,Irdi Capital Investissement
abdebe86-130f-45af-863f-5c2b449dc305,IRDI Capital Investissement
f5b8d4b5-1758-4a66-844d-f7b872981283,IRDI Capital Investment
8316a712-8832-4f53-85f0-10862675cb7b,IRIS
4e17f27b-0466-4bad-b667-637430b62512,IRIS Ventures
98bc002a-308b-43d7-954a-fae7f3cfe3da,ISAI
f4b6a89c-bbdf-4d6f-ba17-46ef52bd8b10,ISAI Cap Venture
0b974bb0-522a-4209-bacc-677b72e92783,ISAI Gestion
d2e6671e-204a-48ae-bd71-92b5a4a51d2c,ISAI Ventures
3c36e8a5-2142-48bb-bac4-d5526c24b779,IXO
fffb54be-380a-4c7d-b09e-af5b3b296025,IXO Private Equity
aa45918a-088d-47ef-b42c-b1d8f894bd32,Jean-Charles Samuelian
4b7b1bc3-7b2f-4dbb-9874-95c81b8c2523,Jean-Charles Samuelian-Werve
ab776b33-d3a1-4ac3-b542-e4b862bb1a87,Lazard Elaia Capital
95104c30-32eb-40a0-ace9-2c52685586ea,Leadwind
18238560-b3b5-4ebd-9801-b626a04f1eb2,Ledger Cathay Capital
eb0f5381-8fcd-4847-b38d-5b2519762ae2,managed by Demeter Investment Managers
6884c628-9f89-4aba-ace1-6749f10fac5c,managed by UI Investissement)
71b163d4-91e0-48bc-85cb-486daafc5583,MH Innov’–Elaia partnership fund
2c3c0b70-6c17-4530-95f2-4719ab22026f,Morgan Stanley Expansion Capital
de7d988d-aa7a-48db-9119-48dae8582a65,Odyssée Venture
e2c5c81c-f5dd-4661-83d9-4f59116260d8,Odyssée Venture Business Angels Europe
0c95e3b4-8726-426a-94ac-7ebf58b99bbf,Omnes
61775979-2939-4d9e-a31c-23edf7f8ef85,Omnes Capital
af2ff2d8-49a4-4aed-a468-79815159664d,OPRTRS
68e7d3ce-b444-4b8d-8df9-4a927dd9802d,OPRTRS Club
3cdcd0ba-7eb2-4e64-814f-11d3ab2f3a4b,OPRTRS CLUB
ece0378b-43d8-49c2-a798-990e80ad79d5,Otium Capital
6eb80759-a790-4627-b215-a88e232c71b5,Otium Partners
5258f32d-bbc9-4ce8-9ef7-85e191bef824,OVNI
4ee348f2-1c76-4362-8e83-dc07a4bd4bfa,OVNI Capital
aa4178c5-48eb-4f56-8973-048aeefaaa24,OVNI Capital WEPA Ventures
f7262177-6dd5-4943-9605-0a27e7a6320a,Partech
5c12c15a-9f37-497e-b42a-82e796c2cc1d,Pays de la Loire
0c5736a2-6ba1-40ea-85e2-179d80c26df1,Pays de la Loire Participation
c6babe15-fd24-4b69-8c02-db29c933bd6a,Pays de la Loire Participations
231cb49e-6226-48da-b2f1-51357e906116,Plug & Play Ventures
9b008a61-5e93-44b1-a5e3-fb23b7dd1138,Plug and Play
8b49169e-e971-43b1-810e-82fea82b2b99,Plug and Play Ventures
9285512f-ceec-4036-8b56-61260b041d93,Point Nine
10aed804-c476-4369-a745-f91e0bfa4c16,Point Nine Capital
e1764e09-bc69-438b-9f93-bf629ac58cd5,Racine2 (operated by Serena and makesense)
7981dedd-3706-41f6-afa3-959f41aac9d5,Schneider Electric
7152bebf-c93c-4932-9fee-891f1e37948e,Schneider Electric Energy Access
70688fda-7d56-4d4f-8322-6ca25fe215b5,Serena
5d901bdc-3e50-4c12-becb-76165954581f,Serena Capital
9e78724d-a005-4962-9cef-e89b76cbf5df,Sharpstone
5bad9ec9-91c3-4285-a72f-7d890cd70248,Sharpstone Capital
5b5f1261-ba4c-4692-b1b1-99d7ae059c0f,Sistafund
ebf7817f-6fc4-452a-a5a8-b3e185e908c3,SISTAFUND
a5908599-7e49-4917-b3dd-d01e7fd456a6,Sodero
5be17707-3018-4900-9914-48ec8ad8c430,Sodero Gestion
a486d3ec-6d91-4c05-958c-8d243bdd670b,Sofinnova
b2687eb4-37ab-41c3-9aa5-f05fba40cd42,Sofinnova Partners
ec6b12fe-c6fa-47aa-8379-c1783305f1ed,Sorbonne University
ed1fc2bf-1627-488c-a0ff-706ce2d8ca07,Sorbonne Venture
5e0ef0f7-b80a-456b-95ba-831e39201537,Sorbonne Venture by Audacia
ec406948-1b1a-4d3e-9a1b-efe2fd70fe15,Sowefund
38832266-3cfb-419d-8297-a4933011cee5,Starquest
fe7ef9ab-6ae2-478d-a503-2f86e7dcbd03,Starquest Capital
