ai_score,sector,acronym,name,umr_label,type,city,parent_company,tutelles,domain,year_created,website
40,public,MIA Paris,Mathématiques et Informatique Appliquées - Paris-Saclay,UMR 518,Unité mixte,Palaiseau Cedex,,"AGROPARISTECH,INRAE,U PARIS-SACLAY","Mathématiques et leurs interactions,Sciences et technologies de l'information et",1962,http://www6.inra.fr/mia-paris
40,public,TIMA,Techniques de l'Informatique et de la Microélectronique pour l'Architecture des systèmes intégrés,UMR 5159,Unité mixte,GRENOBLE CEDEX 1,,"GRENOBLE INP,CNRS,GRENOBLE ALPES","Sciences pour l'ingénieur,Sciences et technologies de l'information et de la com",2003,http://tima.imag.fr/
35,public,MICS,Mathématiques et Informatique pour la Complexité et les Systèmes,EA 4037,Unité mixte,GIF-SUR-YVETTE,,"CENTRALESUPELEC,U PARIS-SACLAY,INRIA","Mathématiques et leurs interactions,Sciences pour l'ingénieur,Sciences et techno",2006,http://mics.centralesupelec.fr/fr/
30,public,AGORA,AlGorithmes et Optimisation pour Réseaux Autonomes,,Unité propre,Villeurbanne,,"INSA LYON,INRIA",Sciences et technologies de l'information et de la communication,2017,http://www.inria.fr/equipes/agora
30,public,AROMATH,Algebre geometrie Modelisation et Algorithmes,,Unité propre,,,INRIA,Sciences et technologies de l'information et de la communication,2016,
30,public,ARAMIS,"Algorithmes, modèles et méthodes pour les images et les signaux du cerveau humain sain et pathologiq...",,Unité propre,Paris,,"CNRS,INSERM,INRIA,SORBONNE UNIV.",Sciences et technologies de l'information et de la communication,2012,http://www.inria.fr/equipes/aramis
30,public,AVALON,Algorithms and Software Architectures for Distributed and HPC Platforms,,Unité propre,Lyon,,"LYON 1,CNRS,INRIA,ENS LYON",Sciences et technologies de l'information et de la communication,2012,http://www.inria.fr/equipes/avalon
30,public,ANGE,"Analyse Numérique, Géophysique et Environnement",,Unité propre,Paris,,"CNRS,INRIA,SORBONNE UNIV.",Sciences et technologies de l'information et de la communication,2012,http://www.inria.fr/equipes/ange
30,public,CEDAR,Analyse et traitement de données complexes à grande échelle,,Unité propre,Palaiseau,,"CNRS,INRIA,IP PARIS",Sciences et technologies de l'information et de la communication,2016,http://www.inria.fr/equipes/cedar
30,public,THOTH,Apprentissage de modèles visuels à partir de données massives,,Unité propre,,,INRIA,Sciences et technologies de l'information et de la communication,2016,
30,public,RAPSODI,Approximations numériques fiables pour les systèmes dissipatifs,,Unité propre,Villeneuve d'Ascq,,"INRIA,LILLE",Sciences et technologies de l'information et de la communication,2015,http://www.inria.fr/equipes/rapsodi
30,public,PASCALINE,"Arithmétique des ordinateurs, calcul formel et vérification formelle",,Unité propre,Lyon,,"LYON 1,CNRS,INRIA,ENS LYON",Sciences et technologies de l'information et de la communication,2025,https://www.inria.fr/fr/pascaline
