Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Organization Description,Investor Names,Organization Industries,SIREN
Akewatu,"Lège, Aquitaine, France, Europe",Seed,1500000,EUR,2021-11-02,https://www.akewatu.com/,"Akewatu offers a wide collection of sporting goods such as surfboard, skateboard, clothing and related accessories.",TLF Ventures,"E-Commerce, Outdoors, Recreation, Sporting Goods",
WATTPARK,"Saclas, Centre, France, Europe",Seed,1500000,EUR,2021-11-15,https://www.wattpark.eu/,WattPark is the first smart charging station that you can book and monetize.,"Double Cap, Les Business Angels des Grandes Écoles, Seed for Good, WiSEED","Charging Infrastructure, Facilities Support Services, Mobile",
Hera,"Paris, Ile-de-France, France, Europe",Seed,1700000,USD,2021-10-25,https://hera.so/,"Hera is building a Calendar app with an emphasis on productivity, with a number of overt and more subtle features aimed at helping people.","Alexis Bonillo, Calvin French-Owen, Eurazeo, John Gabaix, Karthik Puvvada, Kima Ventures, Kyle Parrish, Notion Capital, Thibaud Elziere","Computer, Software",
askR.ai,"Paris, Ile-de-France, France, Europe",Seed,1500000,EUR,2021-11-30,https://fr.kaptaincharlie.com/,"askR.ai the first AI-based data assistant which instantly answers your business questions by processing your data, with no skills needed.","Banques Populaires, Bpifrance, Pleiade Venture","Artificial Intelligence (AI), Collaboration, Retail, Retail Technology, Software",
Front-Commerce,"Toulouse, Midi-Pyrenees, France, Europe",Seed,1500000,EUR,2021-11-26,https://front-commerce.com,"Front-Commerce renders UX design, architecture, PWA e-commerce, fast loading, training, project support and system integration services.","Denis Lafont-Trévisan, Kima Ventures","E-Commerce, Enterprise Software, SaaS, Software",
Califrais,"Paris, Ile-de-France, France, Europe",Seed,1500000,EUR,2021-12-01,https://www.califrais.fr/,Califrais is a B2B fresh-produce procurement service that specializes in AI-driven technological solutions to optimize food distribution.,,"Artificial Intelligence (AI), E-Commerce, Food and Beverage, Logistics",
Fasteesh,"Lyon, Rhone-Alpes, France, Europe",Seed,1400000,EUR,2021-06-14,https://fasteesh.com/en,Medical device for caregivers allowing efficient toothbrushing in 10 seconds in establishments or at home.,LO Capital,"B2B, B2C, Dental, E-Commerce, Medical Device",
Joe,"Paris, Ile-de-France, France, Europe",Seed,1500000,EUR,2021-12-15,https://joe-app.com/,Joe is a BNPL for consumers that allows ALL expenses to be paid in several installments.,"115K, Camille Tyan, Gilad Engel, Mark Ransford, Olivier Pailhès, Quentin Nickmans, Thibaud Elziere, Y Combinator","Finance, Financial Services, Payments",
Lafreto,"Aubière, Auvergne, France, Europe",,1500000,EUR,2021-12-14,https://www.lafreto.com,Lafreto is a holding company that owns a number of sporting goods brands.,Societe Generale Capital Partners,"Brand Marketing, E-Commerce, Sporting Goods, Sports",
Buldi,"Vannes, Bretagne, France, Europe",Seed,1400000,EUR,2021-06-16,https://www.buldi.fr,Buldi helps customers find a house builder matching their needs.,"Breizh Up, The Moon Venture","Advice, PropTech, Real Estate, Real Time",
Biloba,"Paris, Ile-de-France, France, Europe",Seed,1400000,EUR,2021-04-13,https://biloba.com,Biloba is a medical consultation platform telemedicine app connecting users with doctors and pediatrician.,"Acequia Capital (AceCap), Aglaé Ventures, Didier Valet, Edward Lando, Inventures, Jon Oringer, Nadav Ben-Chanoch, Pareto Holdings, Possible Ventures","Consumer Applications, Health Care, mHealth, Mobile Apps, Personal Health",
Lisaqua,"Nantes, Pays de la Loire, France, Europe",Seed,1400000,EUR,2021-08-08,https://www.lisaqua.com/,Lisaqua is developing an aquaculture system to grow prawns without antibiotics and with low environmental impact.,Bpifrance,"Agriculture, Aquaculture, Farming",
SPARTHA Medical,"Strasbourg, Alsace, France, Europe",Seed,1400000,EUR,2021-12-08,https://sparthamedical.eu,SPARTHA Medical develops personalised multifunctional coatings with antimicrobial and anti-inflammatory properties.,"Alsace Business Angels, Bpifrance, WiSEED, YEAST","Consulting, Medical",
Keypup,"La Rochelle, Poitou-Charentes, France, Europe",Pre-Seed,1400000,EUR,2021-12-01,https://keypup.io,"SaaS, Software Development, Artificial Intelligence, Machine Learning",Newfund,"Analytics, Artificial Intelligence (AI), Developer Tools, Information Technology, Internet, Predictive Analytics, SaaS, Software",
Stratosfair,"Lanester, Bretagne, France, Europe",Pre-Seed,1300000,EUR,2021-02-22,https://stratosfair.com/,Stratosfair is an innovative start-up that provides a concrete and local solution.,,Data Center,
Arrago,"Paris, Ile-de-France, France, Europe",Pre-Seed,1300000,EUR,2021-01-01,https://arrago.fr,Arrago is a fintech lending platform specialised in mortgage life loans.,,"Credit, Finance, Financial Services, FinTech",
Kwit,"Strasbourg, Alsace, France, Europe",Seed,1300000,EUR,2021-01-19,https://kwit.app/,Kwit develops smoking cessation scientific methods and helps you on a daily basis with positivity and kindness.,"Alsace Business Angels, Bpifrance, Caisse d’Epargne, Kima Ventures, YEAST.","Enterprise Software, Health Care",
CVasThera,"Castres, Midi-Pyrenees, France, Europe",Seed,1300000,EUR,2021-03-03,http://www.cvasthera.com/,CVasThera is a biopharmaceutical company that specializes in the development of novel therapies for cardiovascular and bowel pathologies.,OCSEED,"Biotechnology, Pharmaceutical",
Potions,"Rouen, Haute-Normandie, France, Europe",Seed,1300000,EUR,2021-04-19,https://get-potions.com/,Potions develops data analysis solutions for e-commerce websites.,"Bpifrance, Crédit Agricole, SIDE Capital","Digital Marketing, E-Commerce, Internet",
Adequa,"Rouen, Haute-Normandie, France, Europe",Seed,1300000,EUR,2021-04-19,https://www.adequa.me,Adequa offers personalized experiences to visitors of e-commerce sites without the use of cookies.,SIDE Capital,Digital Marketing,
LIZEE,"Paris, Ile-de-France, France, Europe",Seed,1300000,EUR,2021-06-23,https://www.lizee.co/,LIZEE is a logistics and managed services solution.,"AA Sons, Alante Capital, Alexandre Ichai, Frédéric Metge, Ring Capital, Ring Mission, Romain Afflelou, Speedinvest, Volta Circle","Logistics, Rental, Supply Chain Management",
Signia Therapeutics,"Lyon, Rhone-Alpes, France, Europe",Series A,1300000,EUR,2021-10-20,https://signiatherapeutics.com/,Signia Therapeutics is an innovative French start-up company.,Neovacs,Medical,
