Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Fairlyne,https://fairlyne.com,Seed,,2747452.88,2023-07-11,,Paris,"Evolem Start, FJ Labs, Kima Ventures, Speedinvest","Artificial Intelligence, SaaS, TravelTech"
Zygon,https://www.zygon.tech,Seed,,2725963.6,2023-10-18,,Paris,"Axeleo Capital, Kima Ventures",Other
Ida,https://www.ai-ida.com,Seed,,2707616.41,2023-11-15,,Paris,"Daphni, Frst, Kima Ventures, Motier Ventures",FoodTech
hestiia,https://hestiia.com/,Seed,,2664716.37,2023-02-20,,Paris,"Bpifrance, New Layer Capital, NOIA Capital",Energy
Bastion,https://bastion.tech,Seed,,2586844.05,2023-04-27,,Paris,"Denis Duverne, Frst, Gaëlle Olivier, Global Founders Capital, Joshua Motta, Kima Ventures, Motier Ventures, Renaud Deraison","Cybersecurity, InsurTech"
KOLIBRI,https://kolibrilab.com,Seed,,2586844.05,2023-03-06,,Paris,"Bpifrance, CentraleSupélec Venture, Creative Ventures, Joyance Partners, SOSV, SOSV SF & NY (Fka IndieBio)",HealthTech
Verteego,http://www.verteego.com,Seed,,2547948.08,2023-04-27,,Paris,"Archipel Ventures, Bpifrance, Charles Egly, Etienne Besançon, Finoli, Guillaume Princen, Holnest, Kima Ventures, Loïc Villers, Super Capital VC","Artificial Intelligence, E-commerce & Retail"
Hemblem,https://hemblem.app/en/,Seed,,2534875.28,2023-04-18,,Paris,"Blast. Club, Super Capital VC",Other
Spayr,https://www.spayr.eu,Seed,,2533199.37,2023-04-20,,"La Trinité-sur-mer, Bretagne, France, Europe","Blast. Club, Femmes Business Angels",Other
Dotfile,https://www.dotfile.com,Seed,,2478505.17,2023-02-07,,Paris,"Baptiste Hamel, Kima Ventures, Nadav Ben-Chanoch, Pareto Holdings, Paul Vidal, Polymatter Ventures, Saturnin Pugnet, Super Capital VC, Upscalers, V13 Invest",FinTech
elba,https://www.elba.security/,Seed,,2470776.98,2023-06-06,,Paris,"Angel Invest, Eric Fourrier, Jason Chan, Jean-Baptiste Aviat, Kima Ventures, Plug and Play, Uncorrelated Ventures, XAnge",Other
CarbonFarm Technology,https://carbonfarm.tech,Seed,,2447864.01,2023-10-20,,Paris,"AgFunder, Bpifrance, Climate Capital, Jeriko, MakeSense, Ponderosa Ventures, Racine2, Serena, Techmind","Artificial Intelligence, BioTech, ClimateTech, Mobility, AgriTech"
Osium AI,https://osium.ai/,Seed,,2414167.59,2023-11-22,,Paris,"Atomico, Collaborative Fund, Isaac Oates, Julien Chaumond, Kima Ventures, Liz Wessel, Patrick Joubert, Raise Phiture philanthropical fund, Sequoia Scout, Singular, Thomas Clozel, Y Combinator","Artificial Intelligence, DeepTech"
Amoseeds,https://amoseeds.com/,Seed,,2389247.04,2023-03-18,,"Belfort, Franche-Comte, France, Europe","Elevation Capital, UI Investissement","Artificial Intelligence, FoodTech, E-commerce & Retail"
Abcely,https://www.abcely.com,Seed,,2363723.21,2023-09-21,,Nantes,"Angels Santé, GO CAPITAL, Institut de Cancérologie de l'Ouest (ICO)","BioTech, MedTech, Hardware"
Ensweet,https://www.ensweet.fr/,Seed,,2349934.41,2023-02-23,,"Loos, Nord-Pas-de-Calais, France, Europe","50 Partners, Angels Santé, Finovam Gestion, Groupe IRD, Makesense Seed I, Nord France Amorcage",MedTech
Losanje,https://losanje.com,Seed,,2348954.18,2023-10-06,,"Val-de-roulans, Franche-Comte, France, Europe","Ademe, Crédit Agricole, France 2030, UI Investissement",Other
Origami Marketplace,https://origami-marketplace.com,Seed,,2314030.86,2023-01-24,,Lille,The Moon Venture,"Energy, E-commerce & Retail"
BioFluff,https://bio-fluff.com,Seed,,2309682.19,2023-10-23,,Paris,"Astanor Ventures, SOSV, SOSV SF & NY (Fka IndieBio)",AgriTech
VirtuoShop,,Seed,,2309682.19,2023-07-14,,"Reims, Champagne-Ardenne, France, Europe",FasterCapital,E-commerce & Retail
Trendex,https://trendex.tech/,Seed,,2217294.9,2023-05-28,,Paris,"Daxos Capital, DG Daiwa Ventures, Super Capital VC",Other
