Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Altior,https://altior.fr,Seed,,1268555.99,2023-09-28,,Nantes,"4CAD Group, Banques Populaires, BNP Paribas, Bpifrance, Mismo, Vif",Other
TwicPics,https://twicpics.space,Seed,,1247228.38,2023-04-10,,Paris,,Artificial Intelligence
Humasana,https://www.humasana.com/fr/,Seed,,1234351.44,2023-02-10,,Paris,,Other
VizioSense,https://viziosense.com/,Seed,,1231388.58,2023-07-08,,Lille,,Cybersecurity
ACSES,https://www.acses.io,Seed,,1230210.64,2023-04-21,,Paris,Bpifrance,Other
Abby,https://abby.fr/,Seed,,1225882.3,2023-04-24,,"Nancy, Lorraine, France, Europe","Myrtus Venture, Tomcat Invest, YEAST",Other
Kairos Discovery,https://www.kairos-discovery.com,Seed,,1220684.59,2023-05-02,,Lyon,"33 California, Bpifrance, Health Angels Rhône-Alpes","Artificial Intelligence, BioTech, MedTech, Hardware"
Wobee,https://www.wobee.fr,Seed,,1220365.85,2023-08-01,,"Levallois-perret, Ile-de-France, France, Europe",JPA Invest,Other
Daumet,https://www.daumet.com,Seed,,1219978.75,2023-11-28,,Paris,"Benoit Georges, CNRS Innovation, Fabrice Lépine, Finhalfa, Jérôme Bellin, Karl Durocher, Olivier Vaury, Théo Deschamps Peugeot",DeepTech
DiagRAMS Technologies,https://diagrams-technologies.com,Seed,,1211699,2023-08-30,,Lille,"Finorpa, Groupe IRD, Nord France Amorcage, Ponticelli Frères",Artificial Intelligence
Ty-Win,https://www.ty-win.fr/,Seed,,1207320.77,2023-01-24,,"Surzur, Bretagne, France, Europe",,TravelTech
Steto,https://www.steto.care,Seed,,1205972.84,2023-11-14,,Paris,Bpifrance,HealthTech
Nelson Mobility,https://www.nelson-mobility.com/,Seed,,1203454.36,2023-07-05,,Paris,,"Energy, Mobility"
Agrikolis,https://agrikolis.com/,Seed,,1189474.32,2023-02-06,,"Roubaix, Nord-Pas-de-Calais, France, Europe",Nord Création,AgriTech
Bobbee,https://bobbee.co,Seed,,1188900.59,2023-09-06,,Paris,,"Artificial Intelligence, FinTech"
Ottho,https://www.ottho.co/,Seed,,1175764.97,2023-02-22,,Marseille,"Hugo Geissmann, Simon Dawlat, Stéphane Le Viet, Super Capital VC",Artificial Intelligence
SeaBeLife,https://www.seabelife.com/,Seed,,1171746.12,2023-09-26,,"Roscoff, Bretagne, France, Europe","Angels Santé, BREIZH Angels, iX Life, Les Business Angels des Grandes Écoles, WeLikeStartup","BioTech, Hardware"
Fentech,https://fentech.ai/en/,Seed,,1168270.51,2023-10-18,,Paris,Elaia,Other
Yuccan Lead,https://www.yuccanlead.fr,Seed,,1157286.59,2023-12-01,,"Chatou, Ile-de-France, France, Europe","Bpifrance, SIDE Capital","BioTech, MarTech"
Affilizz,https://en.affilizz.com/,Seed,,1145543.24,2023-06-08,,"Lesquin, Nord-Pas-de-Calais, France, Europe",,SaaS
Maddie,https://www.maddiedoctor.com,Seed,,1118960.64,2023-05-02,,Paris,Bpifrance,"HealthTech, Hardware"
HUVY,https://www.huvy.fr,Seed,,1117209.9,2023-12-14,,Nantes,"Charente family holding, NACO","Artificial Intelligence, MedTech"
Foodjer,https://www.foodjer.com/,Seed,,1109456.76,2023-11-21,,Paris,"Aonia Ventures, Issarts Capital, Khalid Zitouni","Mobility, FoodTech"
carbonABLE,https://carbonable.io,Seed,,1108647.45,2023-03-20,,Grenoble,"Ethereal Ventures, La Poste Ventures, StarkWare Industries, Sylvain Theveniaud","CleanTech, ClimateTech, Mobility"
Enogrid,https://www.enogrid.com/,Seed,,1090542.31,2023-02-07,,"Orléans, Centre, France, Europe","ENGIE Rassembleurs d'Energies initiative, Schneider Electric Energy Access Asia",Energy
Mile,https://en.mile.eu.com/,Seed,,1090352,2023-02-06,,"Champagne-au-mont-d'or, Rhone-Alpes, France, Europe",Mediaapps Innovation,TravelTech
MedSmart,https://medsmart.fr,Seed,,1085776.98,2023-02-19,,"Neuilly-sur-seine, Ile-de-France, France, Europe",astorya.vc,"HealthTech, MedTech, InsurTech"
Kaptcher,https://www.kaptcher.fr,Seed,,1035720.62,2023-05-05,,Paris,"Alain Le Berre, Baptiste Hamel, Hervé Parent, Jérôme Manuguerra, Patrick, Thibault Guillaume, Vincent Mace","FinTech, PropTech"
Skyted,http://www.skyted.io,Seed,,1035720.62,2023-05-05,,Toulouse,Aerospace Angels,Other
MakeMyMask,https://makemymask.co/,Seed,,1028009.98,2023-04-28,,"Les Auvergnes, Rhone-Alpes, France, Europe",,"Artificial Intelligence, Mobility, AgriTech"
Empowill,https://empowill.com,Seed,,1025175.54,2023-04-21,,Paris,,Artificial Intelligence
Mobula Labs,http://mobula.io/,Seed,,1018655.76,2023-08-04,,Paris,Cetacean Capital,"Artificial Intelligence, FinTech, Web3"
Native Spaces,https://www.native-spaces.com/,Seed,,1017250.55,2023-04-30,,Nice,,"E-commerce & Retail, SpaceTech & Aerospace"
Jimo,https://usejimo.com,Seed,,1016260.16,2023-01-02,,Paris,Plug and Play,Other
The VERY Food Co,https://www.theveryfood.co/,Seed,,1016260.16,2023-05-01,,"Rungis, Ile-de-France, France, Europe",Big Idea Ventures,"Artificial Intelligence, FoodTech"
Ilios International,https://www.iliosinternational.com,Seed,,1016019.96,2023-04-12,,"Aix-en-provence, Provence-Alpes-Cote d'Azur, France, Europe","Groupe BPCE, Région Sud Investissement","Cybersecurity, TravelTech"
ThePlaceToWish,https://www.theplacetowish.com,Seed,,1014683.11,2023-05-10,,"Saint-thiébault, Champagne-Ardenne, France, Europe",Luxembourg Business Angel Network (LBAN),Artificial Intelligence
Rewayz,https://www.rewayz.com/,Seed,,1013279.75,2023-04-20,,Lille,"EuraTechnologies, Hodéfi, Réseau Entreprendre, The Village by CA Nord de France","HealthTech, Entertainment"
Veragrow,https://veragrow.fr,Seed,,1012996.12,2023-05-09,,"Val-de-roulans, Franche-Comte, France, Europe","Bpifrance, French Tech Acceleration Fund, Intellagri, LHOTELIER DEVELOPMENT, UniLaSalle",AgriTech
Colbr,https://www.colbr.co/,Seed,,1009294.16,2023-04-17,,Paris,Ron Zori,"FinTech, PropTech"
Mon Hangar,https://www.monhangar.fr,Seed,,1009214.71,2023-06-19,,"Orléans, Centre, France, Europe",,"AgriTech, PropTech"
BonjourCyber,https://www.bonjourcyber.com/,Seed,,1007922.21,2023-06-26,,Paris,Pascal Teurquetil,"Artificial Intelligence, Cybersecurity"
Verifiables,https://verifiables.com,Seed,,1007307.83,2023-04-05,,Paris,"Antoine de Tavernost, Bilal Alamy, Bpifrance, Founders Future, Guillaume Gibault, Sebastien Borget",Other
RDS,https://rdsdiag.com,Seed,,1006335.92,2023-12-01,,Strasbourg,MACSF,"HealthTech, Mobility"
Wealthcome,https://wealthcome.fr,Seed,,1005903.55,2023-11-22,,Bordeaux,"Alexandre Lacharme, Alter Equity 3P, Antoine Darcet, Morgan Emmery, Olivier Agnola, TechnoStart",FinTech
Komugi,https://www.komugi.io/fr/,Seed,,1004865.11,2023-01-20,,"Thonon-les-bains, Rhone-Alpes, France, Europe","Business Angels, Nicomatic",Artificial Intelligence
Sedeo,https://www.sedeo.fr,Seed,,1004018.85,2023-04-01,,Paris,"Blast. Club, Kima Ventures",Hardware
Hive Bubbles,https://bullesderuche.fr/en,Seed,,1003313.01,2023-01-12,,Paris,"Bpifrance, Henri Parent, Jacques Ferte, Martin Toulemonde, Matthieu Lesne",Other
Layan,https://www.layan.eu/,Seed,,1000877.68,2023-01-19,,Paris,The Moon Venture,"Artificial Intelligence, SaaS"
RDS,https://rdsdiag.com,Seed,,996627.86,2023-09-01,,Strasbourg,Capital Grand Est,"HealthTech, Mobility"
CryptoSimple,https://cryptosimple.app,Seed,,991228.75,2023-02-06,,Marseille,"Morningstar Ventures, SIG Ventures, Taureon",Web3
Greenscope,https://greenscope.io,Seed,,989210.09,2023-09-08,,Paris,"Archipel Ventures, Epopée Gestion, Newfund",CleanTech
Zen Modular,https://www.zen-modular.com/,Seed,,988046.93,2023-05-31,,"Thiers, Auvergne, France, Europe","Kanopee, Unicraft",Other
Locuta,https://locuta.co/,Seed,,987777.16,2023-02-15,,Bordeaux,"Bpifrance, Newfund",Other
Kanta,https://kanta.fr,Seed,,986832.04,2023-09-19,,"Caen, Basse-Normandie, France, Europe",GO CAPITAL,Other
PE Cube,https://www.pe3.io/,Seed,,985201.4,2023-09-22,,Paris,MBA Ventures,SaaS
ColibrITD,https://www.colibritd.com,Seed,,982541.57,2023-09-14,,Paris,Earlybird Venture Capital,DeepTech
Sidely,https://en.go-sidely.com,Seed,,978843.31,2023-10-24,,Paris,"Gossen Eugen, Julien Stern, Philippe Reboul, Thibaud Hug de Larauze",Other
MetaFight,https://metafight.com/,Seed,,977892.65,2023-02-24,,Paris,"Benjamin Chemla, Jonathan Cherki, Nicolas Bacca, Pascal Gauthier, Stake Capital Group, Trail","Mobility, Web3, Entertainment, Gaming"
BoucL Energie,https://www.bouclenergie.fr/,Seed,,977620.1,2023-03-15,,"Jouhet, Poitou-Charentes, France, Europe","Banques Populaires, Crédit Agricole Alpes Provence","CleanTech, Energy"
Klaxo,https://klaxo.fr/,Seed,,977487.99,2023-09-29,,Paris,The Moon Venture,Other
Grimp,https://grimp.io,Seed,,974362.53,2023-10-05,,Paris,"Premier Étage, Sodero Gestion",SaaS
Promyze,https://promyze.com,Seed,,943046.93,2023-11-17,,Bordeaux,"Alex Roubinet, Baptiste Hamel, Edouard de Raulin, Eric La Bonnardiere, Evolem Start, Laurent Ritter, Romain RAFFARD, Thibault Lougnon",Other
Kairos Loan,https://www.kairos.loan/,Seed,,923872.88,2023-05-22,,"Sury-ès-bois, Centre, France, Europe","Aave, Atka Capital, Blockhub DAO, Bpifrance, Crypto.com, Kima Ventures, Lionschain Capital, NxGen.xyz","Artificial Intelligence, FinTech, Web3"
Perlib,https://www.perlib.fr,Seed,,923872.88,2023-06-16,,Paris,,InsurTech
Sand to Green,https://www.sandtogreen.com/en,Seed,,923872.88,2023-02-08,,Paris,"Catalyst Fund, Katapult","CleanTech, FoodTech, Cybersecurity"
SOWIT,https://sowit.co,Seed,,923872.88,2023-08-01,,Paris,,AgriTech
Gapianne,https://www.gapianne.com/,Seed,,911104.03,2023-06-27,,Paris,,Other
Deft Trade,https://www.defttrade.io,Seed,,892656.13,2023-02-14,,Paris,"Be Angels, Provence Business Angels",Other
Cynoia,https://cynoia.com,Seed,,864151.88,2023-11-28,,Marseille,"216 Capital, Bpifrance, UGFS",SaaS
Cynoia,https://cynoia.cloud,Seed,,861772.91,2023-11-29,,Marseille,"216 Capital, Bpifrance, UGFS",SaaS
EasyShipping,http://www.easyshipping.fr,Seed,,805136.73,2023-11-30,,"Rouen, Haute-Normandie, France, Europe","Normandie Business Angels, Normandie Participations","Mobility, MarTech"
Studiomatic,https://www.studiomatic.co/fr,Seed,,800421.29,2023-01-16,,"Pantin, Ile-de-France, France, Europe","Armand de Villoutreys, Olivier Bronner, Olivier de Trogoff, Sharpstone Capital, Super Capital VC",Entertainment
Lisy.co,https://www.lisy.co/,Seed,,800421.29,2023-01-16,,Nantes,Bpifrance,Artificial Intelligence
Maltivor,https://maltivor.com/,Seed,,791244.46,2023-01-01,,"Vourles, Rhone-Alpes, France, Europe",Demeter Partners,"Artificial Intelligence, Energy, FoodTech"
WeWatches,https://www.wewatches.com,Seed,,758474.69,2023-11-24,,Paris,"Alexandre Ichai, Hervé Montoute, Jean-David Benichou, Julien Verdier, Kima Ventures, Yohan Elmaalem",Other
Totemia,https://totemia.com/,Seed,,732418.7,2023-10-27,,Paris,Mutual Education Insurance,TravelTech
Mendo,https://mendo.cloud,Seed,,711654.66,2023-11-28,,Paris,Tomcat,Artificial Intelligence
Cards micro-learning,https://www.cards-microlearning.com/en/,Seed,,659258.13,2023-04-25,,Lyon,"Auguri Invest, HUB612","Artificial Intelligence, Energy, Mobility, SaaS"
Seekoya,https://www.seekoya.com,Seed,,655989.47,2023-06-19,,Lyon,,"Artificial Intelligence, Mobility, SaaS"
Selvitys,https://selvitys.fr,Seed,,644996.3,2023-12-15,,Lille,"Campus Fund, Finovam Gestion, Nord France Amorcage",Other
Proteme,https://www.proteme.fr/,Seed,,609966.74,2023-07-03,,"Palaiseau, Ile-de-France, France, Europe","Beangels, Exerte Partners, WeLikeStartup",FoodTech
Inspeere,https://www.inspeere.com,Seed,,603852.55,2023-11-30,,"Poitiers, Poitou-Charentes, France, Europe","Airbus Développement, Arts et Métiers Business Angels, Bpifrance, Defense Angels, Les Business Angels des Grandes Écoles, NACO, University of French Riviera",Other
Caarl,https://www.caarl.fr,Seed,,593526.42,2023-09-08,,Amiens,The Moon Venture,"InsurTech, LegalTech"
Legapass,https://legapass.com/en/,Seed,,585487.8,2023-09-28,,Nice,Adnexus,Other
Sorius,https://www.sorius-training.com/,Seed,,554323.73,2023-03-31,,"Saint-Étienne-lès-remiremont, Lorraine, France, Europe",,Other
Izysea,https://izysea.fr,Seed,,542026.98,2023-11-09,,"Vannes, Bretagne, France, Europe","ABAB (Atlantic Business Angels Booster), Bpifrance, Mer Angels",Other
eyeGauge,https://www.eye-gauge.com,Seed,,533309.31,2023-12-07,,Paris,"Les Business Angels des Grandes Écoles, Mer Angels, Paris Business Angels",Mobility
Notify AI,https://fr.notify-group.com/,Seed,,502023.28,2023-06-29,,Paris,"Benoit Charles-Lavauzelle, Cyril Vermeulen, Didier Kuhn, Jean Neltner, Joan Burkovic, Johan benoualid, Matthieu Poitrimolt, Xavier Chauvin",Artificial Intelligence
Pess Energy,https://www.pessenergy.com/,Seed,,499193.46,2023-03-27,,Marseille,"IODA Consulting, Rise Partners","BioTech, Energy"
Social Direct,https://socialdirect.fr/,Seed,,497291.2,2023-12-11,,"Vannes, Bretagne, France, Europe",The Moon Venture,Other
Studio Paillette,https://www.studio-paillette.com/,Seed,,496535.48,2023-06-09,,Paris,,Artificial Intelligence
Alobees,https://www.alobees.com,Seed,,494156.5,2023-11-10,,Paris,The Moon Venture,Other
Sweeetch,https://www.sweeetch-alternance.com/,Seed,,492262.56,2023-03-10,,Montpellier,Business Angels,Other
Reemo,https://reemo.io,Seed,,488402.62,2023-10-17,,"Montévrain, Ile-de-France, France, Europe",,Other
A2D - Acquire To Decide,http://www.a2d.ai,Seed,,487995.2,2023-10-01,,"La Rue De Pré, Centre, France, Europe","Crédit Agricole Charente-Maritime Deux-Sèvres, Port Atlantique La Rochelle",FinTech
Odaptos,https://odaptos.com,Seed,,485967.29,2023-01-05,,"Pérols, Languedoc-Roussillon, France, Europe","Bpifrance, MELIES Business Angels, Mines Alès Angels, Sofilaro",Artificial Intelligence
RSight,https://rsight.ai,Seed,,474013.3,2023-07-01,,Paris,Confidential ‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎‏‏‎ ‎,"Artificial Intelligence, Energy"
EBB,https://ebb.global/,Seed,,469194.38,2023-09-30,,Montreuil,,Web3
Open Lake Technology,https://www.open-lake.com,Seed,,461936.44,2023-09-01,,Paris,Seed4Soft,Other
MON PETIT CE,https://monpetitce.com,Seed,,406365.48,2023-04-07,,"Aubagne, Provence-Alpes-Cote d'Azur, France, Europe",,SaaS
My Easy Transfer,https://www.myeasytransfer.com,Seed,,390478.57,2023-10-25,,Paris,216 Capital,Other
Qareeb,https://qareeb.io,Seed,,353123.61,2023-08-23,,"Bondy, Ile-de-France, France, Europe",Algerian Startup Fund,"Artificial Intelligence, AgriTech, Hardware"
DiamPark,https://diampark.io,Seed,,329348.67,2023-05-31,,"Chaville, Ile-de-France, France, Europe",Fast Forward Ventures,Other
BE BOUNCY WWD,https://bebouncy.com/,Seed,,299101.07,2023-01-17,,Paris,Tayssir Capital,Artificial Intelligence
BiPER Therapeutics,https://biper-tx.com/,Seed,,297551.74,2023-02-14,,Strasbourg,WiSEED,"BioTech, Hardware"
Illumo Robotics,https://www.illumo.ai/en/illumo-robotics-english/,Seed,,296716.56,2023-01-01,,Toulouse,Demium Capital,"Robotics, E-commerce & Retail"
Beam for Music,http://www.beamformusic.com,Seed,,230968.22,2023-10-05,,"Gentilly, Ile-de-France, France, Europe","Louis Agon, Romain Poncet",Entertainment
BOTTLESS,https://www.thebottless.com,Seed,,230968.22,2023-03-01,,Paris,Newchip Accelerator,Artificial Intelligence
MIXe.Store,https://mixe.store/,Seed,,178264.97,2023-08-04,,Paris,Antler,"FoodTech, E-commerce & Retail"
Greenercoin,https://www.greenercoin.io,Seed,,138580.93,2023-12-19,,Paris,FasterCapital,"Artificial Intelligence, CleanTech, Web3"
natif.,https://www.natif.io/,Seed,,99146.34,2023-05-30,,"Tourcoing, Nord-Pas-de-Calais, France, Europe",,SaaS
Betaflow,,Seed,,92387.29,2023-05-09,,Paris,,"MedTech, Energy"
MentalCRM,https://mentalcrm.com,Seed,,73909.83,2023-10-01,,Paris,,"Mobility, SaaS"
Klynt,http://klynt.net,Seed,,69290.47,2023-12-01,,Paris,"Interactive Media Lab, Julien Masanes","MedTech, Entertainment"
Kumabo,https://www.kumabo.com,Seed,,50429.6,2023-11-21,,Nice,,TravelTech
IQ.gg,https://www.iq.gg,Seed,,49341.28,2023-09-19,,Nice,,TravelTech
Betaflow,,Seed,,46193.64,2023-06-03,,Paris,,"MedTech, Energy"
IQ.gg,https://www.iq.gg,Seed,,46193.64,2023-11-30,,Nice,,TravelTech
ZNS Connect Name Service,https://znsconnect.io/,Seed,,36954.92,2023-12-01,,Paris,,"Artificial Intelligence, Web3"
Oldpharma,https://technoterroirmaroc.jimdofree.com/,Seed,,5543.24,2023-09-21,,Paris,"Bashar Hamood, FasterCapital, Hesham Zreik",FoodTech
AdCreative.ai,http://adcreative.ai/,Seed,,,2023-10-25,,"Monteaux, Centre, France, Europe","Diffusion Capital Partners, Inventram, Koc Holding","Artificial Intelligence, BioTech, MedTech, SaaS, Entertainment"
B:Bot,https://b-bot.com/,Seed,833953631,,,,Puteaux,"Crédit Agricole, Eiffel Investment Group",Other
Alltheway,https://www.alltheway.io/,Seed,,,2023-04-17,,Paris,Deniz DK,TravelTech
ArcaScience,https://www.arcascience.ai,Seed,,,2023-04-07,,Paris,"Afri Mobility, Plug and Play","Artificial Intelligence, BioTech"
Artpoint,https://www.artpoint.xyz/,Seed,,,2023-01-01,,Paris,AA Sons,Other
auum,https://www.auum.com/,Seed,,,2023-12-05,,Paris,SEB Alliance,Other
Carbonds,https://carbonds.io/,Seed,,,2023-01-01,,"Clermont, Auvergne, France, Europe",Coinsilium Group,"ClimateTech, Energy, Mobility"
CID Gravity,https://www.cidgravity.com/,Seed,,,2023-01-01,,Paris,Tachyon by ConSensys Mesh,Other
Circular Ring,https://www.circular.xyz/,Seed,,,2023-04-01,,Paris,,HealthTech
Desmo Labs,https://www.desmolabs.org/,Seed,,,2023-12-01,,Paris,,"FinTech, SaaS"
Drivata,https://www.drivata.com/,Seed,,,2023-03-14,,Marseille,Tenity,"Artificial Intelligence, Energy"
Faks,https://www.faks.co,Seed,,,2023-01-25,,Paris,FJ Labs,Other
Faradae,https://faradae.com/,Seed,,,2023-04-25,,Lyon,True Green Capital Management,"BioTech, HealthTech, CleanTech, Energy, Mobility"
French Albion,https://french-albion.com,Seed,,,2023-12-05,,"Bidart, Aquitaine, France, Europe",Ahmed Mhiri,Other
Groupe iPepper,https://www.ipepper.fr,Seed,,,2023-04-05,,"Mouans-sartoux, Provence-Alpes-Cote d'Azur, France, Europe",Landry Holi,Other
Hectarea,https://hectarea.io,Seed,,,2023-10-18,,"Castres-gironde, Aquitaine, France, Europe",Antoine Jeanjean,"Artificial Intelligence, FinTech, AgriTech"
HelioRec,https://heliorec.com/,Seed,,,2023-11-20,,Nantes,,"CleanTech, Energy"
HelioRec,https://heliorec.com/,Seed,,,2023-04-06,,Nantes,"First Imagine!, Techstars","CleanTech, Energy"
Hycco,https://hycco.fr/,Seed,,,2023-05-03,,Toulouse,,Other
Icon.X World,https://iconx.world,Seed,,,2023-09-04,,"Neuilly-sur-seine, Ile-de-France, France, Europe",,"Web3, Gaming"
Inoqare,https://inoqare.com/,Seed,,,2023-10-31,,"Bondy, Ile-de-France, France, Europe","Bashar Hamood, FasterCapital, Hesham Zreik","HealthTech, MedTech"
Inovexus,https://inovexus.com/,Seed,,,2023-03-01,,Paris,Rani Aliahmad,Other
Jaylo,https://www.jaylo.ai/,Seed,,,2023-12-07,,Paris,Ahmed Mhiri,Other
Kakarot Labs,https://www.kakarot.org/,Seed,,,2023-11-14,,Paris,"Aglaé Ventures, Bixin Ventures, Builder Capital, Clearly Monad Sero, CMS Holdings, Eterna Capital, Fenbushi Capital, Foresight Ventures, LongHash Ventures, Moonrock Capital, NxGen.xyz, OKX Ventures, SevenX Ventures, Signum Capital, Stake Capital Group, Stix.co, UOB Venture",Artificial Intelligence
Koolboks,https://www.koolboks.com,Seed,,,2023-02-08,,"Rosny-sous-bois, Ile-de-France, France, Europe",Untapped Global,"CleanTech, Energy"
Kubo Labs,https://www.kubolabs.io/,Seed,,,2023-01-01,,Paris,AA Sons,Energy
Kumulus Water,https://www.kumuluswater.com/,Seed,,,2023-10-01,,"Saint-mandé, Ile-de-France, France, Europe",Kalys Ventures,"Artificial Intelligence, FoodTech"
Le Philtre Vodka,https://lephiltre.com,Seed,,,2023-03-01,,Paris,Gravitation,FoodTech
Léo et Violette,https://www.leoetviolette.com/,Seed,,,2023-03-01,,Paris,OBRATORI,Other
Louermaborne,https://louermaborne.fr/,Seed,,,2023-01-01,,"Cergy, Ile-de-France, France, Europe",Afri Mobility,"Energy, Mobility"
Lyber,https://www.lyber.com,Seed,,,2023-01-01,,Paris,316VC,FinTech
Mâche,https://www.machefrance.com/,Seed,,,2023-10-01,,Paris,,"CleanTech, ClimateTech, Mobility, FoodTech"
Maestro,https://www.maestro-tech.co/,Seed,,,2023-06-08,,"Saint-pée-sur-nivelle, Aquitaine, France, Europe",Plug and Play,Energy
Marble,https://marble.studio,Seed,,,2023-01-01,,Paris,Grantham Foundation,"CleanTech, ClimateTech, DeepTech"
Mediflash,https://mediflash.fr,Seed,,,2023-01-01,,Paris,VentureFriends,"MedTech, Mobility"
Meria,https://www.meria.com/,Seed,,,2023-08-14,,"Metz, Lorraine, France, Europe",,"Artificial Intelligence, Web3"
Mizou AI,https://mizou.com/,Seed,,,2023-01-01,,"Aisey-sur-seine, Bourgogne, France, Europe","Better Angle, No Label Ventures",Artificial Intelligence
Mo-ka,https://mo-ka.com,Seed,,,2023-02-06,,Paris,Anthony Nakache,"Artificial Intelligence, SaaS, E-commerce & Retail"
My Lubie,https://mylubie.com,Seed,,,2023-05-17,,Paris,Ahmed Mhiri,E-commerce & Retail
Nexqt,https://www.nexqt.com/,Seed,,,2023-01-01,,Paris,Grantham Foundation,"Artificial Intelligence, ClimateTech, Energy, Mobility"
Orus,https://www.orus.eu,Seed,,,2023-07-01,,Paris,,InsurTech
Pandobac,https://pandobac.com/,Seed,,,2023-01-01,,"Rungis, Ile-de-France, France, Europe",Maxime Paradis,"Mobility, FoodTech"
Peachmed,https://www.peachmed.app,Seed,,,2023-03-23,,Paris,,"Artificial Intelligence, HealthTech, MedTech"
Petty Well,https://www.pettywell.com,Seed,,,2023-10-16,,Paris,"Leap Venture Studio, Michelson Impact Ventures","Artificial Intelligence, FoodTech"
Pinpo,https://www.pinpo.com,Seed,,,2023-03-02,,Paris,Louva Invest,MedTech
Pluto,https://gopluto.fr,Seed,,,2023-01-01,,Paris,,InsurTech
RLTY,https://rlty.live/,Seed,,,2023-01-01,,Paris,,Other
Semji,https://semji.com/,Seed,,,2023-01-01,,Lyon,,"Artificial Intelligence, Energy, SaaS, Entertainment, MarTech"
Stima,http://www.stimaboda.com,Seed,,,2023-06-16,,Paris,OnCapital,Mobility
The O Circle,,Seed,,,2023-04-18,,Paris,Pascal Gauthier,FoodTech
THREEVISION,https://www.anazirgame.com/,Seed,,,2023-01-23,,"Savigny-sur-orge, Ile-de-France, France, Europe",,"Entertainment, Gaming"
UBAQ,https://www.ubaq.io/,Seed,,,2023-01-01,,"Saint-fiacre, Centre, France, Europe",XAnge,"HealthTech, MedTech, Hardware"
Unlimitd,https://www.unlimitd.com,Seed,,,2023-01-01,,Lille,Rémy Bendayan,E-commerce & Retail
Virvolt,https://www.virvolt.fr,Seed,,,2023-06-09,,Paris,Afri Mobility,Energy
Winalist,https://www.winalist.com,Seed,,,2023-11-21,,"Ay, Champagne-Ardenne, France, Europe",Plug and Play,Other
XPERT,https://www.x-pert.fr/en,Seed,,,2023-06-10,,"Biot, Provence-Alpes-Cote d'Azur, France, Europe",,Other
Swish,https://swishforgood.com,Seed,,45616162.23,2023-09-27,,"Roissy-en-france, Ile-de-France, France, Europe",RGreen Invest,"Artificial Intelligence, Energy, Mobility"
Mediprix Pharmacies,https://mediprix.fr,Seed,,16097099.04,2023-07-06,,"Pérols, Limousin, France, Europe",Labeled France Relance,"HealthTech, MedTech"
Onliz,https://www.onliz.fr/,Seed,918998543,11500000,2023-09-27,,"Les Auvergnes, Rhone-Alpes, France, Europe","Crédit Agricole Loire Haute-Loire, LOCAM","E-commerce & Retail, Hardware"
Aventa,https://aventa.fr,Seed,,10258221.54,2023-04-14,,Paris,NextStage AM,Energy
Electric 55 Charging,http://www.e55c.com/,Seed,832489801,10017325.39,2023-03-29,,"Saint-tropez, Provence-Alpes-Cote d'Azur, France, Europe","Conquest, YESSS Electrical",Energy
Mistral AI,https://mistral.ai,Series A,,382910231,2023-12-10,,Paris,"Andreessen Horowitz, BNP Paribas, Eric Schmidt, General Catalyst, La Famiglia, Lightspeed Venture Partners, Motier Ventures, New Wave (VC), Salesforce Ventures, Sofina",Artificial Intelligence
SiPearl,https://www.sipearl.com,Series A,,75548116.22,2023-04-05,,"Maisons-laffitte, Ile-de-France, France, Europe","Arm Holdings, European Investment Bank, Eviden, France 2030","Artificial Intelligence, Energy"
Corteria Pharmaceuticals,https://www.corteriapharma.com/,Series A,,64244802.29,2023-09-07,,Paris,"Fountain Healthcare Partners, Invivo Capital Partners, Jeito Capital, Kurma Partners, Omnes Capital, OrbiMed, V-Bio Ventures","Artificial Intelligence, BioTech"
EODev,http://www.eo.dev,Series A,,46129764.41,2023-11-15,,"Issy-les-moulineaux, Ile-de-France, France, Europe","CapHorn Invest, CMA CGM Pulse, Supernova Invest, Tilt Capital Partners","Artificial Intelligence, Energy"
MECAWARE,https://mecaware.com/,Series A,,39149229.49,2023-10-06,,"Bully, Rhone-Alpes, France, Europe","BNP Paribas Développement, Bpifrance, Claude Bernard University Lyon 1, Crédit Agricole Création, Crédit Mutuel Innovation, EIT InnoEnergy, KREAXI, MTB, Pulsalys, UI Investissement",Other
Sekoia.io,https://www.sekoia.io,Series A,,34778982.82,2023-05-24,,Rennes,"Banque des Territoires, BNP Paribas Développement, Bright Pixel Capital, Omnes Capital, Seventure Partners",Cybersecurity
DiogenX,https://diogenx.com/,Series A,,33991878.23,2023-05-10,,Marseille,"AdBio partners, Boehringer Ingelheim Venture Fund, Eli Lilly, JDRF T1D Fund, Omnes Capital, Roche Venture Fund, Sunstone Life Science Ventures","BioTech, HealthTech, Hardware"
Swap,https://swapfood.com/,Series A,883899478,32500000,2023-10-15,,Paris,"Bpifrance, Redalpine, Newfund, Astanor Ventures, VERSO Capital",Other
Umiami,https://umiami.com/,Series A,,31466894.86,2023-10-02,,Paris,"Astanor Ventures, Athletico Ventures, Bpifrance, Newfund, redalpine, VERSO Capital","AgriTech, FoodTech"
DocCity,http://www.doccity.fr,Series A,,30377132.3,2023-11-27,,"Suresnes, Ile-de-France, France, Europe","CELESTE, Eternam, Eurobail, Florac, MACSF","HealthTech, Mobility, SpaceTech & Aerospace"
