Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Description,Investor Names,Sectors,SIREN
royaltiz,"Paris, Ile-de-France, France, Europe",Seed,6000000,EUR,2022-06-28,https://www.royaltiz.com/market,royaltiz is the first platform to invest in the success of celebrities. Are you ready to find the next superstar?,,"Finance, FinTech, Peer to Peer, Stock Exchanges, Trading Platform",
Healshape,"Villeurbanne, Rhone-Alpes, France, Europe",Seed,6000000,EUR,2022-06-28,https://healshape.com/,Healshape is a 3D bioprinting regenerative medecine company.,"Angels Santé, Bpifrance, Crédit Agricole, Demeter, GO CAPITAL, WinEquity","3D Printing, Biotechnology",
Omi,"Paris, Ile-de-France, France, Europe",Seed,6000000,EUR,2022-06-27,https://www.omi.so,Omi is a 3D application that offers e-commerce and social media solutions.,"Alexis Bonillo, Daniel Marhely, Dawn Capital, Edward Lando, Famillie C (Clarins Family), Financiere Saint James, Marc Menasé, Motier Ventures, Nadav Ben-Chanoch, Purple","3D Technology, Apps, Artificial Intelligence (AI), Information Technology, Internet, Machine Learning, Photo Editing",
Leanspace,"Illkirch-graffenstaden, Alsace, France, Europe",Seed,6000000,EUR,2022-06-22,https://leanspace.io,"Leanspace is the first cloud platform for space missions, enabling companies and agencies to easily build space software.","42CAP, Bpifrance, Herius Capital, Karista","Cloud Computing, Information Technology, Satellite Communication, Software, Space Travel",
WeeKEra,"Nîmes, Languedoc-Roussillon, France, Europe",Seed,6000000,EUR,2022-06-09,https://weekera.teamtailor.com/,WeeKEra is developing an augmented payroll solution for chartered accountants.,Drakarys,"Finance, Financial Services, Payments",
Palette,"Paris, Ile-de-France, France, Europe",Seed,6000000,USD,2022-05-18,https://palettehq.com/en,"Palette develops a sales compensation software that helps companies easily create, manage, and automate compensation plans.","Aaron Epstein, Adam Pettit, Bain Capital Ventures, Boris Paillard, Dalton Caldwell, Danny Zoro, Ilias Hicham, Julien Lemoine, Kima Ventures, Kyle Porter, Liquid 2 Ventures, Mathilde Collin, Nick Mehta, Nicolas Dessaigne, Peter Kazanjy, Reshma Khilnani, Thejo Kote, TwentyTwo VC","B2B, Direct Sales, Sales, Sales Automation, Software",
Athenian,"Paris, Ile-de-France, France, Europe",Seed,6000000,USD,2022-03-02,https://athenian.com/,Athenian is a platform that helps engineering leaders leverage insights and align teams with company goals.,"Abstraction Capital, Air Street Capital, Chris Schagen, Frst, Julien Lemoine, Point Nine, Renaud Visage, Sam Ramji, The Twenty Minute VC, Xavier Niel","Analytics, Developer Tools, Software",
Vianova,"Paris, Ile-de-France, France, Europe",Series A,6000000,EUR,2022-12-21,https://www.vianova.io,Vianova is a mobility data platform for managing connected and shared mobility in the urban public realm.,"Bâloise Holding, Contrarian Ventures, La Poste Ventures, Ponooc, RATP Capital Innovation, XAnge","Big Data, Information Technology, Logistics, Transportation",
Aniah,"Grenoble, Rhone-Alpes, France, Europe",Series A,6000000,EUR,2022-11-21,https://www.aniah.fr/,Aniah specializes in chip design closure and full-chip analysis at the transistor level.,"BNP Paribas Développement, Bpifrance, Crédit Agricole, Supernova Invest","Electronic Design Automation (EDA), Information Technology, Semiconductor, Software",
Audion,"Paris, Ile-de-France, France, Europe",Series A,6000000,EUR,2022-11-15,https://www.audion.ai/,Audion transforms audio advertising into scalable performance with AI-driven optimization.,"Elevation Capital Partners, Founders Future","Advertising Platforms, Agentic AI, Audio, Generative AI, Internet Radio, Podcast",
Y-Brush,"Lyon, Rhone-Alpes, France, Europe",Series A,6000000,EUR,2022-11-15,https://y-brush.com,Y-Brush manufactures electric toothbrushes with sonic vibration.,"Banque Populaire RhÃ'ne Alpes, Benoit Petit, BNP Paribas, Bpifrance, Crédit Mutuel Equity, E. Binhas, Laurent Fiard, Lionel Schmitt, Marc Sudreau, P. Yacharel, Thibault Hagler, Valérie Poinsot, Vivacto Développement, Wendie Renard, Y. Boujnah","Consumer Electronics, Electronics, Personal Health, Wellness",
Beebs,"Créteil, Ile-de-France, France, Europe",Series A,6000000,EUR,2022-10-19,https://www.beebs.app/,Beebs is the first C2C marketplace for parents & their kids.,"Citizen Capital, Isai, Mercari","E-Commerce, Marketplace, Mobile Apps, Shopping",
DeepLife,"Vernon, Centre, France, Europe",Series A,6000000,EUR,2022-10-18,https://deeplife.co/,DeepLife uses deep learning on multi-omics data to model cells and efficiently engineer their behavior.,"Bpifrance, Entrepreneurs First, Kima Ventures, Mid Atlantic Bio Angels","Artificial Intelligence (AI), Biotechnology, Machine Learning",
Ermium Therapeutics,"Paris, Ile-de-France, France, Europe",Series A,6000000,EUR,2022-06-30,https://www.ermium.com/,Ermium Therapeutics is a biotech company developing innovative therapies for auto-immune diseases.,"Fountain Healthcare Partners, Kurma Partners","Biotechnology, Health Care, Pharmaceutical",
Sintermat,"Montbard, Bourgogne, France, Europe",Series A,6000000,EUR,2022-06-01,https://sinter-mat.com/en/homepage/,"Sintermat designs and produces wearable, structural, and materials for the packaging, defense, and industrial tooling sectors.","Bpifrance, Crédit Agricole, Safran Corporate Ventures, UI Investissement","Consumer Goods, Product Design, Recycling",
Beamy,"Paris, Ile-de-France, France, Europe",Series A,6000000,USD,2022-04-19,https://beamy.io/,Beamy helps large organisations embrace SaaS explosion with a continuous SaaS audit technology combined with a powerful governance platform.,"Aglaé Ventures, Erwan Keraudy, Evolem Start, Frenchfounders, Isai, Nick Hernandez","Information Technology, SaaS, Software",
Homeland Immo,"Paris, Ile-de-France, France, Europe",Series A,6000000,EUR,2022-03-01,http://www.homeland.immo/,Homeland is an operator of a building management company dedicated to office and residential buildings.,"Banque des Territoires, Newfund, Reflexion Capital","Facilities Support Services, Home Services, Information Technology, Property Management, Real Estate",
Cartan Trade,"Paris, Ile-de-France, France, Europe",,6000000,EUR,2022-12-14,https://www.cartantrade.com/,Cartan Trade is a financial firm that offers credit insurance services.,Intact Financial,Insurance,
Wizaly,"Paris, Ile-de-France, France, Europe",,6000000,EUR,2022-09-15,https://www.wizaly.com,Marketing attribution platform,"Ankaa Ventures, Frenchfounders, Galia Gestion, Innovacom","Advertising, Analytics, SaaS",
Cosmo Connected,"Paris, Ile-de-France, France, Europe",,6000000,EUR,2022-06-25,http://www.cosmoconnected.com,The Leader in Connected Safety in Urban Mobility.,"Adrien Dassault, Gary Anssens, Patrice Pastor, Sarona Ventures","Mobile Apps, Software, Wireless",
LeHibou,"Boulogne-billancourt, Ile-de-France, France, Europe",,6000000,EUR,2022-05-20,https://www.lehibou.com,LeHibou is a big data platform that connects freelance IT consultants.,Ring Capital,"Freelance, Information Technology, Recruiting",
Eldo,"Toulouse, Midi-Pyrenees, France, Europe",,6000000,EUR,2022-05-02,https://pro.eldo.com/,"Eldo supports professionals and brands in the home improvement sector in the digitalization of their communication, commercial management.","Grand Sud Ouest Capital, IRDI SORIDEC Gestion, M Capital Partners, Sofiouest",Software,
Pianity,"Paris, Ile-de-France, France, Europe",Seed,5850000,EUR,2022-03-02,https://pianity.com/,"Pianity is where artists and fans gather to create, collect and trade unique digital artworks.","ArkStream Capital, Arweave, Big Brain Holdings, Digital Renaissance, Foresight Ventures, IOSG Ventures, LD Capital, LongHash Ventures, Rand Hindi, Ronny Shibley, Sebastien Borget, ViaBTC Capital","Information Technology, Music, Software",
Edda,"Paris, Ile-de-France, France, Europe",Seed,5800000,USD,2022-09-07,https://www.edda.co,Edda specializes in flow management solutions for business investors,"Arnaud Bonzom, FJ Labs, Future Shape, Mucker Capital, Plug and Play","Financial Services, SaaS, Software, Venture Capital",
Pepette,"Paris, Ile-de-France, France, Europe",Series A,5700000,EUR,2022-06-21,https://pepette.co/,Pepette provides pet food.,"Ambrosia Investments, Augustin Paluel-Marmont, Franck Bonfils, GO CAPITAL",Pet,
Payflows,"Paris, Ile-de-France, France, Europe",Seed,5500000,USD,2022-10-18,https://www.payflows.io/,Payflows is a FinTech company that develops a SaaS platform for finance teams.,"Christer Holloman, Headline, Kaushik Subramanian, Mischief, Motier Ventures, Ribbit Capital, Salomon Aiach","Financial Services, FinTech, Payments, SaaS",
Request Finance,"Paris, Ile-de-France, France, Europe",Seed,5500000,USD,2022-06-08,https://request.finance,"Request Finance provides a financial management platform for businesses to handle cryptocurrency invoicing, payroll, and expenses.","Animoca Brands, Balderton Capital, Draper Startup House Ventures, Jim Baldy, Julien Bouteloup, Michael Kong, Sebastien Borget, Stani Kulechov, XAnge","Blockchain, Cryptocurrency, FinTech, Human Resources",
Dracula Technologies,"Valence, Ile-de-France, France, Europe",Series A,5500000,EUR,2022-09-20,http://www.dracula-technologies.com/,At Dracula technologies we have invented a sustainable source of energy that turns ambient light into electricity for low power devices,,"Information Services, Technical Support",
SiVIEW,"Paris, Ile-de-France, France, Europe",Series A,5500000,EUR,2022-09-13,https://siviewtech.com,SiVIEW specializes in providing IT solutions to find prescribed eyeglasses.,LBO France,"Eyewear, Information Technology, Medical, Software",
Champagne EPC,"Vindey, Champagne-Ardenne, France, Europe",Series A,5500000,EUR,2022-09-09,https://www.epc-champagne.com,Champagne EPC is producer of quality champagne offered to provide a real positive experience to anyone tasting the champagne.,"Kima Ventures, Mulliez Family Association","Brand Marketing, Food and Beverage, Wine And Spirits",
Cashbee,"Paris, Ile-de-France, France, Europe",Series A,5500000,EUR,2022-05-05,https://www.cashbee.fr/,Cashbee is a mobile application to helps save money with budget analysis tools based on artificial intelligence.,"AA Sons, Adrien Montfort, La Banque Postale, My Money Group, Romain Afflelou","Artificial Intelligence (AI), Financial Services, FinTech, Mobile Apps",
Pubstack,"Paris, Ile-de-France, France, Europe",Series A,5500000,EUR,2022-03-22,https://pubstack.io/,"Pubstack helps digital publishers connect, control, monitor, and optimize all their monetization sources across all screens and ad formats.","GO CAPITAL, Herve Brunet, Isai, Jean Canzoneri","Information Technology, Software",
Archeon,"Besançon, Franche-Comte, France, Europe",Series A,5500000,EUR,2022-03-16,http://www.archeon-medical.com/,"Archeonis fully dedicated to the development of innovative solutions for the monitoring, diagnosis and treatment of critically ill patients.","Bpifrance, Daphni, Karot Capital, Majycc Innovation Santé",Medical Device,
Inseco,"Poitiers, Poitou-Charentes, France, Europe",Seed,5300000,USD,2022-04-21,https://www.altioremt.fr,"Inseco is an IT company that specializes in management solutions, ERP, CRM, GED, HR, and business solutions.","E4EAfrica, Futuregrowth Asset Management, Oak Drive ventures","CRM, Enterprise Resource Planning (ERP), Information Technology, Software",
Cintoo,"Sophia Antipolis, Provence-Alpes-Cote d'Azur, France, Europe",Series A,5300000,EUR,2022-01-27,https://cintoo.com/,Cintoo develops technologies and solutions for managing and leveraging the 3D data coming from Reality Capture devices in the cloud.,"Accenture Ventures, AMAVI Capital, Armilar Venture Partners, Région Sud Investissement, UI Investissement","Information Technology, Software",
HeyTeam,"Paris, Ile-de-France, France, Europe",,5100000,EUR,2022-04-04,http://www.heyteam.com,HeyTeam is an innovative solution that helps you manage your onboarding/offboarding process in a new way.,"360 Capital, Acurio Ventures, Axel MANOUKIAN, Hugo Manoukian, Jonathan Azoulay, Olivier Severyns, Sabina Tommasi","Computer, Internet, Software",
Biomemory,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-11-28,https://www.biomemory.com/,Biomemory leverages molecular engineering to build exabyte appliances for data centers,"Bpifrance, Eric Carreel, eureKARE, Flavien Kulawik, Jean-David Benichou, Octave Klaba, Paris Business Angels, Prunay Impact Studio, Radouane Kharbichi","Biotechnology, Data Center, Data Storage, Electronics",
Tropee,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-11-22,https://www.tropee.com,"Tropee helps creators grow faster by engaging their fans with rewards — all with one, simple link.","Edward Lando, Gregoire le Jeune, Lorens Huculak, Pareto Holdings, Sebastien Borget, Thibault Launay, Tioga Capital Partners, Venista Ventures","Business Development, Internet",
Livmed's,"Nice, Provence-Alpes-Cote d'Azur, France, Europe",Seed,5000000,EUR,2022-11-22,https://livmeds.com,Livmed's is a software platform that provides home medicine delivery services for fellow citizens and healthcare players.,"Bpifrance, CMA CGM, Sanofi","Delivery Service, Health Care, Medical, Pharmaceutical, Software",
Hummink,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-11-15,https://hummink.com/,Hummink develops additive manufacturing technology designed to provide tools to design and manufacture at the nanoscale.,"Bpifrance, Elaia, PSL Ventures, Sensinnovat","Electronics, Industrial, Manufacturing",
Faume,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-11-09,https://www.faume.co/,Faume provides a white label technological and logistics solution to brands wishing to launch their second-hand offer.,"Bpifrance, Daphni","Consumer Goods, E-Commerce, Marketplace, Retail, Software",
LETTRIA,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-10-13,https://lettria.com,LETTRIA is one of the most advanced Natural Language Processing players in the French-speaking market.,"Galion.exe, Jezby Ventures","Artificial Intelligence (AI), Education, Software",
Fairly Made,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-10-10,https://www.fairlymade.com/,Fairly Made is an environmentally friendly fashion provider dedicated to helping brands create a transparent procurement model.,"ETF Group, Frenchfounders, LeFonds by FrenchFounders","B2B, Environmental Consulting, Fashion, Sustainability",
Julaya,"Paris, Ile-de-France, France, Europe",Seed,5000000,USD,2022-09-21,https://julaya.co,Julaya is a fintech providing African businesses with a digital account to make payments and borrow.,"50 Partners, Édouard Mendy, EQ2 Ventures, Jedar Capital, Kibo Ventures, Mohammed Diab, Orange Ventures, Saviu Ventures, Speedinvest, Unpopular Ventures","Financial Services, FinTech, Mobile Payments",
Voltaire,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-08-31,https://voltaire.bike/en/,"Voltaire develops and markets electric bikes with a vintage look, designed to meet the demands of everyday urban use.",EWO Capital,"Fitness, Wellness",
Orus,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-07-06,https://www.orus.eu,Orus provides simple and transparent insurance coverage for small business owners.,"Arthur Waller, Christophe Triquet, Foreword Fund, Frst, Partech, Pierre-Olivier Desaulle, Portage Ventures, Raphael Vullierme","Finance, Financial Services, Insurance",
Sonio,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-06-29,https://www.sonio.ai,"Sonio is an AI-based support platform for fetal ultrasound, helping practitioners analyze and diagnose congenital malformations.","Bpifrance, Elaia, OneRagtime","Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device",
Mium Lab,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-06-15,https://www.miumlab.com/,Mium Lab is specializing in food supplements in the form of vitamin-enriched fruit gummies.,"Aquasourca, François Videlaine, Guy Stephan, Hubert Patricot, Mandi Ventures, Marc Valerius de Beffort, Olivier Thomas","Fitness, Food and Beverage, Nutrition, Wellness",
Kiln,"Paris, Ile-de-France, France, Europe",Seed,5000000,USD,2022-05-19,https://www.kiln.fi/,Kiln creates an enterprise-level pledge platform and provides one-click pledge services for encrypted assets.,"Alven, BlueYard Capital, Kima Ventures, Shana Fisher, SV Angel, Third Kind Venture Capital",,
Maskott,"Le Puy-en Velay, Auvergne, France, Europe",Seed,5000000,EUR,2022-05-04,http://maskott.com/,Maskott provides efficient and universal digital pedagogical solutions.,"Arkea Capital Investissement, Banque des Territoires, Crédit Mutuel Arkéa, UI Investissement","CRM, Education, Information Technology, Software",
Animaj,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-05-01,https://www.animaj.com,"Animaj empowers the next generation by telling them interesting and engaging stories that encourage them to imagine, explore, and create.","Daphni, Kima Ventures, Motier Ventures, XAnge","B2C, Information Services, Media and Entertainment",
Tempr,"Paris, Ile-de-France, France, Europe",Seed,5000000,USD,2022-04-19,https://www.tempr.ai,Tempr predicts the future of mobile advertising revenues to maximize the return on Ad spending.,Adikteev,"Advertising, Marketing",
Polaris,"Quimper, Bretagne, France, Europe",Seed,5000000,EUR,2022-03-29,https://www.polaris.fr/,"Polaris is a leader in the Foodtech sector producing high-quality Omega3 oils, rich in EPA and DHA, from fish historically, and microalgae.",Seventure Partners,"Biotechnology, Food and Beverage",
Flowlity,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-03-10,http://www.flowlity.com,"SaaS using AI to build resilient supply chain, predict sales and consumptions and optimize inventories","42CAP, Bpifrance, Fortino Capital, OSS Ventures","Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software, Supply Chain Management",
Qobra,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-03-01,https://www.qobra.co,Qobra is the next-generation sales compensation software increasing sales teams performance.,"BREEGA, Didier Valet, Nicolas Douay","SaaS, Sales, Software",
Yavin,"Paris, Ile-de-France, France, Europe",Seed,5000000,EUR,2022-02-24,https://yavin.com,Yavin provides modern point-of-sale solutions for European merchants.,"Andrew Nutter, New Wave (VC), Seedcamp","Information Technology, Point of Sale, Software",
Meilisearch,"Paris, Ile-de-France, France, Europe",Seed,5000000,USD,2022-01-27,https://www.meilisearch.com/,Open-source search engine API,"CRV, Guillermo Rauch, LocalGlobe, Robin Vasan, Seedcamp","Cloud Computing, Developer APIs, Developer Tools, Open Source, SaaS, Search Engine, Semantic Search, Software, Vertical Search",
Telelogos,"Angers, Pays de la Loire, France, Europe",Series A,5000000,EUR,2022-11-15,http://www.telelogos.com,Telelogos develops professional software packages that automate and administer exchanges between the CIS and remote devices.,Crédit Mutuel Equity,"Computer, Mobile Apps, Mobile Devices, Software",
LE DRIVE TOUT NU,"Beauzelle, Midi-Pyrenees, France, Europe",Series A,5000000,EUR,2022-07-05,https://ledrivetoutnu.com/,LE DRIVE TOUT NU is a startup of Consumers services Buyer aid.,"Colam Impact, France Active, MAIF Impact, Makesense Seed I, One Creation, The Daniel and Nina Carasso Foundation","Consumer Goods, Retail",
EasyPicky,"Montpellier, Languedoc-Roussillon, France, Europe",Series A,5000000,EUR,2022-06-27,https://easypicky.com/fr,Easypicky provides quick image identification technology that improves planogram control from any on-board system.,"Frederic Halley, IRDI SORIDEC Gestion, Spring Invest","Information Technology, Software",
Volt,"Montrouge, Ile-de-France, France, Europe",Series A,5000000,USD,2022-06-01,https://www.volt-corp.com/,Leader français de la distribution de trottinettes et scooters électriques,Elevation Capital Partners,Sales,
Shotgun,"Paris, Ile-de-France, France, Europe",Series A,5000000,EUR,2022-06-01,https://www.shotgun.live/events,Shotgun is a global underground nightlife guide and ticketing solution.,OneRagtime,"Internet, Nightlife, Ticketing",
DAMAE Medical,"Paris, Ile-de-France, France, Europe",Series A,5000000,EUR,2022-02-03,http://www.damae-medical.com,DAMAE Medical develops an innovative imaging process for quick and non-invasive skin cancer detection.,"BNP Paribas Développement, Kurma Partners, Paris-Saclay Seed Fund","Biotechnology, Health Care, Medical, Medical Device",
Easyblue,"Paris, Ile-de-France, France, Europe",Series A,5000000,EUR,2022-01-28,https://www.easyblue.io,Easyblue makes your entrepreneurial adventure safer by empowering you to pilot your risks through our risks coaching platform.,,"Commercial Insurance, Insurance, InsurTech",
Cureety,"Dinan, Bretagne, France, Europe",Series A,5000000,EUR,2022-01-24,https://www.cureety.com/,Cureety is a telemedicine startup that improves the follow-up and care of patients.,"Bpifrance, Crédit Agricole, Credit Mutuel, Groupama, MBA Mutuelle","Health Care, Medical, Telehealth",
WAAM Cosmetics,"Savigny-sur-orge, Ile-de-France, France, Europe",Series B,5000000,EUR,2022-06-27,https://waamcosmetics.com/,"WAAM Cosmetics is a natural, eco-friendly, vegan & cruelty free beauty products.","Arkea Capital Investissement, Karot Capital","Beauty, Cosmetics",
RollingFunds,"Paris, Ile-de-France, France, Europe",Series B,5000000,EUR,2022-02-08,https://www.rolling-funds.com,RollingFunds is a credit management platform that provides loans for small businesses.,"AG2R La Mondiale, Arundo Re, PRO BTP, Truffle Capital","Finance, Financial Services, FinTech, Information Technology, Small and Medium Businesses",
Elicit Plant,"Vilhonneur, Poitou-Charentes, France, Europe",,5000000,USD,2022-12-19,https://www.elicit-plant.com,Elicit Plant is an agro-biotech company thatfocuses on enhancing the resilience of crops under drought conditions through natural processes.,European Innovation Council,"Agriculture, AgTech, Biotechnology",
Umi,"Lyon, Rhone-Alpes, France, Europe",,5000000,EUR,2022-10-10,https://umi-innovation.com,Umi is a technology company that develops customized solutions to promote business growth for organizations.,,"Digital Marketing, Professional Networking, Sales",
Oé,"Lyon, Rhone-Alpes, France, Europe",,5000000,EUR,2022-10-10,https://oeforgood.com,Oé is an online store that sells a wide collection of wines.,Demeter Partners,"Delivery Service, E-Commerce, Wine And Spirits",
Pytheas Capital Advisors,"Paris, Ile-de-France, France, Europe",,5000000,EUR,2022-09-05,https://www.pytheascapital.com,Pytheas Capital Advisors is a financial advisory company.,"Bpifrance, Crédit Mutuel Arkéa","Email, Financial Services, Innovation Management, Service Industry, Sustainability",
DCbrain,"Paris, Ile-de-France, France, Europe",,5000000,EUR,2022-06-21,http://www.dcbrain.com/,DCbrain is a deep-tech SaaS company that offers an optimization platform using AI and Hybrid AI algorithms.,"28DIGITAL, Aster, Bpifrance, Breed Reply, Cowin Capital, EIT InnoEnergy, Statkraft Ventures","Artificial Intelligence (AI), Big Data, Machine Learning, SaaS, Software, Supply Chain Management",
Dynveo,"Teyran, Languedoc-Roussillon, France, Europe",,5000000,EUR,2022-06-16,https://www.dynveo.fr/,Dynveo is a manufacturer and retailer of antioxidant anti-aging products.,"BNP Paribas Développement, Sofilaro","Dietary Supplements, Health Care, Manufacturing, Retail",
Ciloa,"Montpellier, Languedoc-Roussillon, France, Europe",,5000000,EUR,2022-03-08,https://www.ciloa.fr/,Ciloa is a uniquely positioned to support your projects aiming to create new therapeutic.,,"Legal, Medical, Therapeutics",
YouScribe,"Paris, Ile-de-France, France, Europe",,5000000,EUR,2022-02-11,http://youscribe.com,YouScribe is a community platform for sharing and selling digital publications in France.,"Banque des Territoires, Habert Dassault Finance, IRIS Capital Investment, TDH Capital","Communities, E-Commerce, Sharing Economy",
Ascor Communication,"Rennes, Bretagne, France, Europe",,5000000,EUR,2022-01-25,https://www.ascor-communication.fr,Ascor Communication is a holding company with private and family shareholders whose vocation is to invest in digital and distance learning.,"Bpifrance, Crédit Mutuel Arkéa",E-Learning,
Endrix,"Lyon, Rhone-Alpes, France, Europe",,5000000,EUR,2022-01-05,http://www.groupesfc.fr/,Endrix Their policy is geared towards quality and customer satisfaction,"BNP Paribas Développement, Bpifrance","Accounting, Business Intelligence, Consulting",
Lisaqua,"Nantes, Pays de la Loire, France, Europe",Seed,4900000,EUR,2022-03-01,https://www.lisaqua.com/,Lisaqua is developing an aquaculture system to grow prawns without antibiotics and with low environmental impact.,"Bpifrance, CIC Ouest, Le Gouessant, LITTO INVEST","Agriculture, Aquaculture, Farming",
Atekka,"Paris, Ile-de-France, France, Europe",,4900000,EUR,2022-09-07,https://www.atekka.fr,Atekka is a new generation agricultural insurance company.,"Agro Invest, Invivo Capital Partners","Agriculture, Financial Services, Insurance",
Capsule Labs,"Biarritz, Aquitaine, France, Europe",Seed,4800000,EUR,2022-10-12,https://www.capsulecorplabs.com,Capsule Labs is a technology solutions provider that facilitates digital asset transmission and the creation of utility NFTs.,"Digital Finance Group (DFG), Omnes Capital, Revam","Blockchain, Cryptocurrency, Information Technology, Software",
Le Fourgon,"Marquette Lez Lille, Nord-Pas-de-Calais, France, Europe",Seed,4500000,EUR,2022-09-15,https://www.lefourgon.com,"Le Fourgon offers milk, water, beer, wine, fruit juice, and sodas.","Id4 ventures, Kima Ventures, Teampact ventures","CleanTech, Food and Beverage, Hospitality",
Arkania,"Paris, Ile-de-France, France, Europe",Seed,4500000,USD,2022-03-14,,B2B API solution for brands to create and sell online NFTs directly on their platforms,"Bertrand Jacquelot, Global Founders Capital, La Famiglia, Motier Ventures, Sequoia Capital, TQ Ventures","Blockchain, Cryptocurrency, E-Commerce",
JOIN,"Paris, Ile-de-France, France, Europe",Seed,4500000,EUR,2022-02-10,https://www.join-stories.com/,"JOIN offers a turnkey solution for creating, publishing, and monetising stories on all communication channels.","Financiere Saint James, Purple, Seedcamp, XAnge","Marketing, Publishing",
Placeshaker,"Issy-les-moulineaux, Ile-de-France, France, Europe",,4500000,EUR,2022-01-19,https://www.placeshaker.fr,Placeshaker publishes and designs specialized project management software for renovation and rehabilitation sites.,"Finorpa, NextStage, Ouest Croissance","Architecture, Construction, Information Services, Information Technology, Interior Design, Software",
Vendredi,"Paris, Ile-de-France, France, Europe",Series A,4400000,EUR,2022-03-24,https://www.vendredi.cc,Vendredi is a civic engagement platform that simplifies the management of all the solidarity actions of a company,"Aonia Ventures, Cedric Sellin, Christophe Poupinel, Evolem Start, INCO Ventures, Kayo Hattori, Polymatter Ventures, Thierry Petit, Thierry Vandewalle",Human Resources,
Vnaya Village,"Le Perrier, Pays de la Loire, France, Europe",,4400000,EUR,2022-01-06,,"Vnaya Village offers luxury hotel, resort and services.",Epopée Gestion,"Hospitality, Hotel, Professional Services",
LinKinVax,"Paris, Ile-de-France, France, Europe",Seed,4350000,EUR,2022-02-10,https://ennodc.com/,LinKinVax operates as a clinical-stage biotechnology company.,"Alain Tingaud, André-Jacques Auberton-Hervé, Geoffrey Duyk, Giorgio Anania, Jean-Paul Kress, Rémi Gaston- Dreyfus","Biotechnology, Clinical Trials, Health Care, Life Science, Medical",
Oledcomm,"Vélizy-villacoublay, Ile-de-France, France, Europe",Seed,4300000,EUR,2022-10-28,https://www.oledcomm.net/,Oledcomm designs and manufactures Dual Use LiFi and Laser communciations Solutions for mission-critical environments.,,"Information Technology, Optical Communication",
Datafolio,"Lille, Nord-Pas-de-Calais, France, Europe",Seed,4300000,EUR,2022-02-09,https://www.datafolio.com,Datafolio is a mobility risk management platform that offers insurance solutions.,"Arnaud Monnier, Eric Huet, Fabio Sbianchi, Valerio Caracciolo","Auto Insurance, Insurance, InsurTech, Risk Management",
NaoX Technologies,"Palaiseau, Ile-de-France, France, Europe",Seed,4300000,EUR,2022-01-27,https://www.naox-technologies.com/,NaoX Technologies develops wireless headphones that listen to brain vibrations.,"BNP Paribas Développement, Bpifrance, Kurma Partners, Majycc Innovation Santé","Fitness, Health Care, Wireless",
Ludocare,"Lyon, Rhone-Alpes, France, Europe",Seed,4200000,EUR,2022-07-04,https://www.ludocare.com/,"Ludocare is to create ways to provide assistance to patients and their families to improve their abilities, autonomy, and quality of life.","Bpifrance, Karista","Child Care, Health Care, Therapeutics",
Cosmian,"Paris, Ile-de-France, France, Europe",,4200000,EUR,2022-06-20,https://cosmian.com/,Cosmian is the first decentralized and privacy-by-design Confidential Data Intelligence Platform leveraging deep tech encryption schemes.,"Elaia, Fiblac, Guillaume Amblard, La Banque Postale","Analytics, Big Data, Cyber Security, Data Mining, Internet",
Libertify,"Paris, Ile-de-France, France, Europe",Pre-Seed,4000000,EUR,2022-07-01,https://www.libertify.com,"The first platform purpose-built to transform complex documents into engaging, interactive experiences - ensuring critical content is seen.",Laurion Capital Management,"Artificial Intelligence (AI), B2B, Marketing Automation, SaaS, Sales Enablement",
RLTY,"Paris, Ile-de-France, France, Europe",Pre-Seed,4000000,EUR,2022-06-27,https://rlty.live/,"RLTY is a collective of metaverse adopters, contributing to this ecosystem by setting the right infrastructure for virtual events buliding.","Blue Wire Capital, Christopher Grilhault des Fontaines, FOV Ventures, Kima Ventures, Monoceros, Stake Capital Group","Blockchain, Cryptocurrency, Metaverse",
MORFO,"Paris, Ile-de-France, France, Europe",Seed,4000000,EUR,2022-12-08,https://www.morfo.rest,"MORFO incorporates biological symbioses, drones, and AI technologies to sustainably reforest and fight against global warming.","AFI Ventures, Caroline Lair, Demeter, Graffi Rathamohan, Jean-Gabriel Levon, Nicolas Béraud, Raise Ventures, Teampact ventures","Artificial Intelligence (AI), Computer Vision, Drones, Forestry, GreenTech",
